Time,u[0],d[0],x[0],x[1],x[2],y[0]
0.248,0.0146101,3.16682,-0.000594966,-0.0159701,-0.0168874,-0.0146101
0.249,0.0122859,1.09238,-0.000610376,-0.01485,-0.015795,-0.0122859
0.25,0.0114813,-0.966256,-0.000625696,-0.0157895,-0.0167612,-0.0114813
0.251,0.0121844,1.74712,-0.000640598,-0.0140153,-0.0150141,-0.0121844
0.252,0.0109005,-2.11904,-0.00065566,-0.0161083,-0.0171332,-0.0109005
0.253,0.0124478,-1.21893,-0.000672364,-0.0172981,-0.0183521,-0.0124478
0.254,0.0133355,-0.956569,-0.000690125,-0.0182236,-0.0193087,-0.0133355
0.255,0.0140307,1.74466,-0.00070746,-0.0164476,-0.017564,-0.0140307
0.256,0.0127479,1.10822,-0.000723339,-0.0153107,-0.0164558,-0.0127479
0.257,0.0119316,0.0707057,-0.000738601,-0.0152128,-0.0163851,-0.0119316
0.258,0.0118752,-1.48872,-0.000754544,-0.0166737,-0.0178738,-0.0118752
0.259,0.0129606,0.478531,-0.000770964,-0.0161658,-0.0173953,-0.0129606
0.26,0.0126052,0.449278,-0.000786891,-0.015688,-0.016946,-0.0126052
0.261,0.0122713,0.384298,-0.000802373,-0.0152759,-0.0165617,-0.0122713
0.262,0.0119851,-0.219831,-0.000817745,-0.0154684,-0.0167815,-0.0119851
0.263,0.0121414,-1.59908,-0.000833999,-0.0170391,-0.0183806,-0.0121414
0.264,0.0133075,0.0685297,-0.000850989,-0.0169403,-0.0183121,-0.0133075
0.265,0.0132521,1.96732,-0.00086693,-0.0149438,-0.0163447,-0.0132521
0.266,0.0118065,-1.43025,-0.000882576,-0.0163466,-0.017775,-0.0118065
0.267,0.0128491,0.214097,-0.000898801,-0.0161034,-0.0175609,-0.0128491
0.268,0.0126873,-1.00009,-0.000915389,-0.0170742,-0.018561,-0.0126873
0.269,0.0134146,0.0411131,-0.000932428,-0.0170026,-0.0185199,-0.0134146
0.27,0.0133792,1.1498,-0.000948841,-0.015823,-0.0173701,-0.0133792
0.271,0.0125321,-0.332239,-0.000964816,-0.0161268,-0.0177023,-0.0125321
0.272,0.0127704,-0.0222799,-0.000980939,-0.0161202,-0.0177246,-0.0127704
0.273,0.0127817,0.964036,-0.000996563,-0.0151277,-0.0167605,-0.0127817
0.274,0.0120708,-1.60095,-0.00101248,-0.0167007,-0.0183615,-0.0120708
0.275,0.0132382,-0.267965,-0.0010293,-0.0169386,-0.0186295,-0.0132382
0.276,0.0134292,0.0127271,-0.00104621,-0.0168955,-0.0186167,-0.0134292
0.277,0.0134146,-1.19512,-0.00106369,-0.0180597,-0.0198119,-0.0134146
0.278,0.0142843,0.499797,-0.00108149,-0.0175279,-0.0193121,-0.0142843
0.279,0.0139128,-0.307115,-0.00109915,-0.0178034,-0.0196192,-0.0139128
0.28,0.0141321,-2.03763,-0.00111796,-0.0198081,-0.0216568,-0.0141321
0.281,0.0156185,1.08453,-0.00113721,-0.0186887,-0.0205723,-0.0156185
0.282,0.0148183,1.29313,-0.00115523,-0.0173627,-0.0192791,-0.0148183
0.283,0.0138656,0.0194994,-0.00117257,-0.017312,-0.0192596,-0.0138656
0.284,0.0138458,2.6763,-0.00118853,-0.0146059,-0.0165833,-0.0138458
0.285,0.0118808,0.0376214,-0.0012031,-0.0145418,-0.0165457,-0.0118808
0.286,0.0118485,1.68698,-0.00121679,-0.0128293,-0.0148587,-0.0118485
0.287,0.0106085,2.34666,-0.00122843,-0.0104604,-0.0125121,-0.0106085
0.288,0.00888598,-1.6376,-0.0012397,-0.0120779,-0.0141497,-0.00888598
0.289,0.0100813,1.753,-0.00125089,-0.0103036,-0.0123967,-0.0100813
0.29,0.00879363,0.888654,-0.00126074,-0.00939628,-0.011508,-0.00879363
0.291,0.0081393,0.554693,-0.00126985,-0.00882434,-0.0109533,-0.0081393
0.292,0.00772972,1.8699,-0.00127773,-0.00693883,-0.00908343,-0.00772972
0.293,0.00635731,1.77811,-0.00128378,-0.00514832,-0.00730532,-0.00635731
0.294,0.0050526,2.68585,-0.00128758,-0.00245361,-0.00461947,-0.0050526
0.295,0.00308374,-0.373265,-0.00129021,-0.00282116,-0.00499273,-0.00308374
0.296,0.00335544,-0.920388,-0.00129349,-0.00373491,-0.00591312,-0.00335544
0.297,0.00402764,1.59391,-0.00129643,-0.00213404,-0.00431921,-0.00402764
0.298,0.00285865,0.0603903,-0.00129853,-0.00206869,-0.00425882,-0.00285865
0.299,0.00281291,0.467792,-0.00130036,-0.00159625,-0.00379103,-0.00281291
0.3,0.0024689,-0.749414,-0.00130233,-0.00234123,-0.00454044,-0.0024689
0.301,0.00301623,-0.14207,-0.00130474,-0.00247787,-0.00468251,-0.00301623
0.302,0.00311867,-0.984575,-0.00130771,-0.00345636,-0.00566709,-0.00311867
0.303,0.00383794,-0.28007,-0.0013113,-0.003729,-0.00594716,-0.00383794
0.304,0.00404112,0.312499,-0.00131487,-0.00340889,-0.00563466,-0.00404112
0.305,0.00381035,2.02591,-0.00131726,-0.00137678,-0.00360875,-0.00381035
0.306,0.00232513,1.09889,-0.00131809,-0.000274731,-0.00250985,-0.00232513
0.307,0.0015192,-0.0153491,-0.00131837,-0.000288279,-0.0025252,-0.0015192
0.308,0.0015294,0.898902,-0.00131821,0.00061199,-0.0016263,-0.0015294
0.309,0.000870197,-3.08623,-0.00131914,-0.00247244,-0.00471253,-0.000870197
0.31,0.00312909,-0.226302,-0.00132172,-0.00269303,-0.00493883,-0.00312909
0.311,0.00329315,2.00559,-0.00132341,-0.000682457,-0.00293324,-0.00329315
0.312,0.001823,-2.66521,-0.00132542,-0.00334384,-0.00559846,-0.001823
0.313,0.00377328,-2.22436,-0.00132987,-0.00555997,-0.00782281,-0.00377328
0.314,0.00540005,1.49967,-0.00133468,-0.00405009,-0.00632314,-0.00540005
0.315,0.00429955,-0.0895605,-0.00133877,-0.00413126,-0.0064127,-0.00429955
0.316,0.00436306,-0.213969,-0.001343,-0.00433663,-0.00662667,-0.00436306
0.317,0.00451764,-2.58897,-0.00134863,-0.00691546,-0.00921564,-0.00451764
0.318,0.0064111,-1.06368,-0.00135607,-0.00796529,-0.0102793,-0.0064111
0.319,0.00718706,0.369931,-0.00136384,-0.0075804,-0.00990939,-0.00718706
0.32,0.00691308,0.467849,-0.00137118,-0.0070983,-0.00944154,-0.00691308
0.321,0.00656749,2.36295,-0.00137709,-0.00472287,-0.0070786,-0.00656749
0.322,0.00483447,0.65894,-0.00138148,-0.00405471,-0.00641966,-0.00483447
0.323,0.00434973,3.11109,-0.00138397,-0.000936778,-0.00330857,-0.00434973
0.324,0.00206974,0.755177,-0.00138453,-0.000178973,-0.00255339,-0.00206974
0.325,0.00151555,1.1158,-0.00138415,0.000937965,-0.00143759,-0.00151555
0.326,0.000697515,-0.0136116,-0.00138322,0.00092412,-0.0014512,-0.000697515
0.327,0.000706719,1.34463,-0.00138163,0.00226786,-0.000106571,-0.000706719
0.328,-0.000278564,-1.1871,-0.00137995,0.00107881,-0.00129367,0.000278564
